Territorio,Sesso,ETA1,Eta,Stato civile,TIME,Value
Italia,totale,TOTAL,totale,totale,2023,58997201
Nord-ovest,totale,TOTAL,totale,totale,2023,15858626
Piemonte,totale,TOTAL,totale,totale,2023,4251351
Valle d'Aosta,totale,TOTAL,totale,totale,2023,123130
Liguria,totale,TOTAL,totale,totale,2023,1507636
Lombardia,totale,TOTAL,totale,totale,2023,9976509
Nord-est,totale,TOTAL,totale,totale,2023,11558522
Trentino-Alto Adige,totale,TOTAL,totale,totale,2023,1077143
Veneto,totale,TOTAL,totale,totale,2023,4849553
Friuli-Venezia Giulia,totale,TOTAL,totale,totale,2023,1194248
Emilia-Romagna,totale,TOTAL,totale,totale,2023,4437578
Centro,totale,TOTAL,totale,totale,2023,11723222
Toscana,totale,TOTAL,totale,totale,2023,3661981
Umbria,totale,TOTAL,totale,totale,2023,856407
Marche,totale,TOTAL,totale,totale,2023,1484298
Lazio,totale,TOTAL,totale,totale,2023,5720536
Sud,totale,TOTAL,totale,totale,2023,13464669
Abruzzo,totale,TOTAL,totale,totale,2023,1272627
Molise,totale,TOTAL,totale,totale,2023,290636
Campania,totale,TOTAL,totale,totale,2023,5609536
Puglia,totale,TOTAL,totale,totale,2023,3907683
Basilicata,totale,TOTAL,totale,totale,2023,537577
Calabria,totale,TOTAL,totale,totale,2023,1846610
Isole,totale,TOTAL,totale,totale,2023,6392162
Sicilia,totale,TOTAL,totale,totale,2023,4814016
Sardegna,totale,TOTAL,totale,totale,2023,1578146
