,SNo,Date,RegionCode,RegionName,ProvinceCode,ProvinceName,ProvinceAbbreviation,Latitude,Longitude,TotalPositiveCases
0,0,2020-02-24T18:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,0
6915,6915,2020-04-18T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,566
6914,6914,2020-04-18T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1071
6913,6913,2020-04-18T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,617
6912,6912,2020-04-18T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,233
31708,31708,2020-10-11T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,819
31709,31709,2020-10-11T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,973
31710,31710,2020-10-11T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2034
31711,31711,2020-10-11T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1174
31857,31857,2020-10-12T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,856
31858,31858,2020-10-12T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1021
31859,31859,2020-10-12T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2056
6787,6787,2020-04-17T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,553
6786,6786,2020-04-17T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1042
6785,6785,2020-04-17T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,615
6784,6784,2020-04-17T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,233
31860,31860,2020-10-12T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1184
32006,32006,2020-10-13T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,902
32007,32007,2020-10-13T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1061
32008,32008,2020-10-13T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2073
